M0	peripheral vascular disease
M1	ascarids
M2	retinal dystrophy
M3	hypertensive crises
M4	life-threatening toxicity
M5	autoimmune thyroiditis
M6	inflammatory bowel disease
M7	proteus infections
M8	roundworm infections
M9	metastatic her2-overexpressing breast cancer
M10	abdominal aortic aneurysm
M11	exogenous obesity
M12	streptococcal infections
M13	edema
M14	corneal injury
M15	locally advanced or metastatic cholangiocarcinoma
M16	aplastic anemia
M17	travelers' diarrhea
M18	empyema
M19	recurrent miscarriage
M20	bronchoconstriction
M21	serious respiratory tract infections
M22	subarachnoid hemorrhage
M23	prostatitis
M24	cutaneous larva migrans
M25	mercury poisoning
M26	seborrheic dermatitis
M27	blistering disorders
M28	bladder cancer
M29	tapeworm infections
M30	active secondary progressive multiple sclerosis
M31	mantle cell lymphoma
M32	blackhead disease
M33	human papillomavirus (hpv) type 58
M34	nephropathic cystinosis
M35	severe recalcitrant nodular acne
M36	metastatic non-small cell lung cancer
M37	philadelphia chromosome-positive (ph+) acute lymphocytic leukemia (all)
M38	severe vision loss
M39	helminthiasis
M40	acute lung injury
M41	refractory multiple myeloma
M42	trichomoniasis
M43	congenital sucrose-isomaltase deficiency (csid)
M44	intestinal candidiasis
M45	premature labor
M46	bartonellosis
M47	paranoid psychosis
M48	irritable bowel syndrome
M49	pulmonary edema
M50	myotonic muscular dystrophy
M51	recurrent non-squamous non-small cell lung cancer
M52	diabetes insipidus
M53	atrial fibrillation
M54	chronic granulomatous disease
M55	germ cell testicular cancer
M56	stage d2 metastatic carcinoma of the prostate
M57	postencephalitic parkinsonism
M58	primary pulmonary hypertension
M59	persistent ovarian cancer
M60	organ transplant rejection
M61	counteracting or reversing the anticoagulant effect of heparin
M62	nephrotic syndrome
M63	digitalis glycoside toxicity
M64	congenital athetosis
M65	lymphomatous meningitis
M66	naeglerias
M67	neisseria meningitidis group w-135
M68	hemolytic anemia due to sickle cell disease
M69	acinetobacter
M70	chronic urticaria
M71	multiple sclerosis
M72	symptomatic vitreomacular adhesion
M73	hyperlipoproteinemia type iv
M74	exacerbations of chronic psychosis
M75	relapsed or refractory peripheral t-cell lymphoma
M76	prevention of renal transplant rejection
M77	pulmonary emphysema
M78	iritis
M79	metastatic pancreatic cancer
M80	fungal blepharitis
M81	urgent surgery/invasive procedures
M82	miscarriage
M83	hereditary orotic aciduria
M84	autism spectrum disorder (asd)
M85	chronic pain
M86	congenital factor vii deficiency
M87	chronic immune thrombocytopenic purpura
M88	deficiency of interleukin-1 receptor antagonist (dira)
M89	metastatic cervical cancer
M90	pancreatic neuroendocrine tumors
M91	postherpetic neuralgia
M92	generalized anxiety disorder
M93	systemic juvenile idiopathic arthritis
M94	convulsions
M95	myelodysplastic/myeloproliferative diseases associated with pdgfr
M96	human papillomavirus (hpv) type 31
M97	autoimmune neutropenia
M98	carbohydrate deficiency
M99	acute hyperammonemia
M100	psoriasis vulgaris
M101	hyperuricemia
M102	respiratory distress syndrome in premature infants
M103	pancreatic insufficiency attributed to cystic fibrosis
M104	mucopolysaccharidosis ii
M105	deep vein thrombosis (dvt)
M106	ovulatory dysfunction
M107	thromboangitis obliterans
M108	lichen planus
M109	hyperkalemia
M110	hypercalciuria
M111	bloating
M112	essential hypertension
M113	congenital fibrinogen deficiency
M114	helicobacter pylori gastritis
M115	benign breast disease
M116	fungal meningitis
M117	long chain fatty acid oxidation disorders (lc-faods)
M118	restless leg syndrome
M119	chronic leg ulcers
M120	microsatellite instability-high (msi-h) or mismatch repair deficient cancer (dmmr)
M121	pheochromocytoma
M122	primary peritoneal cancer
M123	gastroparesis
M124	episodic migraine
M125	diffuse large b-cell non-hodgkin's lymphoma (nhl)
M126	vitamin deficiency
M127	retinoblastoma
M128	mouth ulcers
M129	kras g12c-mutated locally advanced or metastatic non-small cell lung cancer (nsclc)
M130	solid tumors
M131	anxiety
M132	spinal muscular atrophy (sma)
M133	anaemia associated with chronic kidney disease
M134	escherichia coli infections
M135	warfarin related intracerebral hemorrhage
M136	fallopian tube cancer
M137	moderate to severe pemphigus vulgaris
M138	transient ischemic attack
M139	gestational trophoblastic neoplasia
M140	esophageal candidiasis
M141	sinusoidal obstruction syndrome (sos)
M142	epilepsy
M143	severe primary insulin-like growth factor deficiency (igf)
M144	hemophilia b
M145	phenylketonuria
M146	febrile seizures
M147	delayed puberty
M148	respiratory tract infections
M149	oro-pharyngeal mucositis
M150	muscle contractions
M151	ichthyosis
M152	pneumococcal pneumonia
M153	gastroesophageal junction adenocarcinoma
M154	acute thrombi obstructing coronary arteries
M155	relapsed or refractory large b-cell lymphoma
M156	bleeding episodes
M157	cocaine-related disorders
M158	fungal infections
M159	fragile x syndrome
M160	incisional wounds
M161	discrete aldosterone-producing adrenal adenomas
M162	meningitis caused by haemophilus influenzae
M163	hypereosinophilic syndrome
M164	african trypanosomiasis
M165	bacterial skin infections
M166	common cold
M167	cocaine addiction
M168	retinal degeneration
M169	erosive or ulcerative gastroesophageal reflux disease
M170	narcolepsy
M171	gastric adenocarcinoma
M172	esophageal adenocarcinoma
M173	hepatolenticular degeneration
M174	relapsed or refractory mantle cell lymphoma (mcl)
M175	hypovolemia
M176	jet lag syndrome
M177	pharyngitis
M178	renal angiomyolipoma (aml)
M179	allergic conjunctivitis
M180	infectious diarrhea
M181	recurrent cervical cancer
M182	locally advanced basal cell carcinoma (labcc)
M183	proctitis
M184	peyronie's disease
M185	myocardial infarction
M186	primary mediastinal large b-cell lymphoma
M187	hereditary transthyretin-mediated amyloidosis
M188	candida urinary system infections
M189	nausea and vomiting associated with moderately emetogenic cancer chemotherapy
M190	seasonal allergic conjunctivitis
M191	plasmodium vivax malaria
M192	dermatitis herpetiformis
M193	ependymoma
M194	nicotine dependence
M195	hyperparathyroidism
M196	reverse vitamin k antagonist activity in patients with acute major bleeds
M197	idiopathic pulmonary fibrosis (ipf)
M198	prevention of bone marrow transplant rejection
M199	hypocalcemia
M200	inflammatory dermatoses
M201	cardiac toxicity
M202	gastroesophageal reflux disease
M203	erectile dysfunction
M204	helminthiasis in cattle
M205	acute bronchial asthma
M206	hydatid disease
M207	paranoia
M208	peripheral neuropathy
M209	postoperative nausea and vomiting
M210	growth failure due to chronic kidney disease (ckd)
M211	refractory or recurring external condylomata acuminata
M212	synovial sarcoma
M213	refractory acute leukemia
M214	metastatic non-squamous non-small cell lung cancer
M215	anorexia
M216	cramps caused by gas
M217	gastrointestinal toxicity
M218	neuromyelitis optica spectrum disorder (nmosd)
M219	male hypogonadism
M220	community-acquired bacterial pneumonia
M221	fibrocystic breast disease
M222	acohol withdrawal
M223	meningitis
M224	squamous cell carcinoma
M225	parkinsonism
M226	systemic anaplastic large cell lymphoma
M227	pneumococcal disease
M228	acute bacterial skin and skin structure infection
M229	malaria
M230	diamond-blackfan anemia
M231	fabry disease
M232	hemolytic anemia
M233	bacterial osteomyelitis
M234	anemia
M235	aquaporin-4 (aqp4) immunoglobulin-positive (aqp4-igg) neuromyelitis optica spectrum disorder (nmosd)
M236	excessive bleeding results from heparin use
M237	envenomation caused by bites from eastern coral snakes (micrurus fulvius fulvius)
